words,Type,surp_UD,surp_HD,item_id,cond
हुआ,,0.0028,0.0043,17,c
था,,0.03844,0.02479,17,c
आज,,0.14535,0.71669,17,c
कल,,0.48202,0.99211,17,c
फैशन,,0.49781,0.94968,17,c
में,,0.22975,0.26075,17,c
है,,0.66827,0.97857,17,c
।,,0.38244,0.19776,17,c
वह,,0.0007,0.10484,17,d
टाई,,0.19436,0.88503,17,d
जिसको,,0.00976,0.05763,17,d
बड़ी,,0.09692,0.51819,17,d
स्टाईल,,0.96328,1.79524,17,d
से,,0.01502,0.12386,17,d
पहना,,1.36679,0.16918,17,d
हुआ,,0.0028,0.0043,17,d
था,,0.03844,0.02479,17,d
उस,,0.225,0.67154,17,d
आदमी,,0.17302,0.66184,17,d
ने,,0.17264,0.3109,17,d
आज,,0.64657,1.04594,17,d
कल,,0.82864,1.06054,17,d
फैशन,,0.49781,0.94968,17,d
में,,0.22975,0.26075,17,d
है,,0.66827,0.97857,17,d
।,,0.38244,0.19776,17,d
वह,,0.0007,0.10484,18,a
औरत,,0.19432,0.88503,18,a
जिसने,,0.00975,0.05763,18,a
लाल,,0.01684,0.19439,18,a
गाड़ी,,0.94035,1.55161,18,a
पिछले,,0.05599,2.93956,18,a
महीने,,0.63579,1.13608,18,a
खरीदी,,1.78803,0.16528,18,a
थी,,0.00554,0.00428,18,a
मेरे,,0.27835,0.9291,18,a
बेटे,,0.31717,0.88598,18,a
की,,0.14807,0.10851,18,a
टीचर,,0.7779,0.66382,18,a
है,,0.34793,0.95293,18,a
।,,0.72578,0.33061,18,a
वह,,0.0007,0.10484,18,b
औरत,,0.19432,0.88503,18,b
जिसने,,0.00975,0.05763,18,b
पिछले,,0.09418,0.5069,18,b
महीने,,0.95067,1.79679,18,b
खरीदी,,1.36724,0.16528,18,b
थी,,0.00554,0.00428,18,b
लाल,,0.2512,0.25862,18,b
गाड़ी,,0.3144,0.65927,18,b
मेरे,,0.68523,1.64334,18,b
बेटे,,0.31972,0.74639,18,b
की,,0.14807,0.10851,18,b
टीचर,,0.7779,0.66382,18,b
है,,0.34793,0.95293,18,b
।,,0.72578,0.33061,18,b
वह,,0.00054,0.03664,18,c
लाल,,0.00473,0.22762,18,c
गाड़ी,,0.39734,1.66648,18,c
जिसको,,0.02076,0.36439,18,c
उस,,0.03442,0.07697,18,c
औरत,,0.85762,1.08522,18,c
ने,,0.01598,0.15816,18,c
पिछले,,0.03214,0.484,18,c
महीने,,0.487,3.4938,18,c
खरीदा,,2.33459,0.04106,18,c
था,,0.00549,0.30964,18,c
लोगो,,0.27355,1.05497,18,c
में,,0.23929,0.36364,18,c
काफी,,0.5088,0.5546,18,c
लोकप्रिय,,0.33134,0.42295,18,c
है,,0.61505,0.40091,18,c
।,,0.1708,0.05029,18,c
वह,,0.0007,0.10484,18,d
लाल,,0.05721,1.2569,18,d
गाड़ी,,0.82641,1.88265,18,d
जिसको,,0.01768,0.68531,18,d
पिछले,,0.13398,0.53506,18,d
महीने,,1.47421,0.50852,18,d
खरीदा,,1.32418,0.30024,18,d
था,,0.00549,0.23601,18,d
उस,,0.28135,1.88734,18,d
औरत,,0.3037,0.52024,18,d
ने,,0.17273,0.31349,18,d
लोगो,,0.77845,0.9192,18,d
में,,0.11008,0.23579,18,d
काफी,,0.83137,0.64654,18,d
लोकप्रिय,,0.33134,0.30551,18,d
है,,0.61505,0.52894,18,d
।,,0.1708,0.08474,18,d
वह,,0.0007,0.10484,19,a
डाक्टर,,0.19431,0.88503,19,a
जिसने,,0.00977,0.05763,19,a
दवाईयां,,1.09393,0.58196,19,a
कल,,0.88751,0.60546,19,a
शाम,,1.44023,0.68016,19,a
फेकीं,,1.30104,0.34061,19,a
थीं,,0.00567,0.00432,19,a
बहुत,,0.20221,0.33793,19,a
होशियार,,0.28365,0.33202,19,a
है,,0.61491,0.51666,19,a
।,,0.17098,0.02584,19,a
वह,,0.0007,0.10484,19,b
डाक्टर,,0.19431,0.88503,19,b
जिसने,,0.00977,0.05763,19,b
कल,,1.09715,0.52839,19,b
शाम,,0.89249,0.67365,19,b
फेकीं,,1.30127,0.28046,19,b
थीं,,0.00567,0.00432,19,b
दवाईयां,,0.27359,0.5846,19,b
बहुत,,0.50624,0.58723,19,b
होशियार,,0.28566,0.33929,19,b
है,,0.61491,0.51666,19,b
।,,0.17098,0.02584,19,b
वह,,0.0007,0.10484,19,c
दवाईयां,,0.19442,0.88503,19,c
जिनको,,0.00977,0.05763,19,c
उस,,0.02458,0.08714,19,c
डाक्टर,,0.64468,1.15604,19,c
ने,,0.01598,0.15816,19,c
कल,,0.67298,0.57673,19,c
शाम,,0.71889,0.60904,19,c
फेका,,1.83182,0.33331,19,c
था,,0.0055,0.00403,19,c
खराब,,0.25112,0.25325,19,c
हो,,0.23232,0.10471,19,c
गईं,,0.12099,0.19881,19,c
थीं,,0.16582,0.21346,19,c
।,,0.61123,0.51307,19,c
वह,,0.0007,0.10484,19,d
दवाईयां,,0.19442,0.88503,19,d
जिनको,,0.00977,0.05763,19,d
कल,,1.09634,0.52839,19,d
शाम,,0.89249,0.67365,19,d
फेका,,1.30137,0.28046,19,d
था,,0.0055,0.00403,19,d
उस,,0.28157,0.76705,19,d
डाक्टर,,0.30405,0.60176,19,d
ने,,0.17272,0.31225,19,d
खराब,,0.6469,0.5907,19,d
हो,,0.37026,0.11963,19,d
गईं,,0.12099,0.19881,19,d
थीं,,0.16582,0.21346,19,d
।,,0.61123,0.51307,19,d
वह,,0.0007,0.10484,20,a
इंजीनियर,,0.19415,0.88503,20,a
जिसने,,0.00975,0.05763,20,a
वह,,0.02401,0.10271,20,a
बिल्डिंग,,0.65494,1.23752,20,a
बहुत,,0.08066,0.3315,20,a
धीरे-धीरे,,0.41978,1.16845,20,a
बनायी,,1.42987,0.35418,20,a
थी,,0.00404,0.00417,20,a
मरे,,0.10055,0.02642,20,a
दोस्त,,0.35704,0.99303,20,a
की,,0.28823,0.45204,20,a
कंपनी,,0.47209,0.74477,20,a
में,,0.11049,0.23554,20,a
काम,,0.8913,0.93378,20,a
करता,,0.92302,0.25001,20,a
है,,0.11593,0.13419,20,a
।,,0.46561,0.48259,20,a
वह,,0.0007,0.10484,20,b
इंजीनियर,,0.19415,0.88503,20,b
जिसने,,0.00975,0.05763,20,b
बहुत,,0.1678,0.33867,20,b
धीरे-धीरे,,0.29212,1.15755,20,b
बनायी,,1.26859,0.29902,20,b
थी,,0.00404,0.00417,20,b
वह,,0.25,0.87408,20,b
बिल्डिंग,,0.23631,0.58619,20,b
मरे,,0.67259,0.24425,20,b
दोस्त,,0.36499,1.03429,20,b
की,,0.28823,0.45204,20,b
कंपनी,,0.47209,0.74477,20,b
में,,0.11049,0.23554,20,b
काम,,0.8913,0.93378,20,b
करता,,0.92302,0.25001,20,b
है,,0.11593,0.13419,20,b
।,,0.46561,0.48259,20,b
हमारी,,0.00073,0.04827,20,c
बिल्डिंग,,0.61753,0.71962,20,c
जिसको,,0.01586,0.1368,20,c
उस,,0.02457,0.08714,20,c
इंजीनियर,,0.64495,1.15604,20,c
ने,,0.01596,0.15816,20,c
बहुत,,0.0807,0.3402,20,c
धीरे-धीरे,,0.2298,1.05818,20,c
बनाया,,1.74016,0.39232,20,c
था,,0.00398,0.00392,20,c
बहुत,,0.19125,0.91727,20,c
सुनसान,,0.23491,0.64511,20,c
इलाके,,0.6907,0.90835,20,c
में,,0.22907,0.26075,20,c
है,,0.66656,0.97857,20,c
।,,0.41825,0.1975,20,c
हमारी,,0.00073,0.04827,20,d
बिल्डिंग,,0.61753,0.71962,20,d
जिसको,,0.01586,0.1368,20,d
बहुत,,0.16794,0.33867,20,d
धीरे-धीरे,,0.29212,1.15755,20,d
बनाया,,1.5698,0.33958,20,d
था,,0.00398,0.00392,20,d
उस,,0.24682,0.76284,20,d
इंजीनियर,,0.23527,0.6037,20,d
ने,,0.17259,0.31225,20,d
बहुत,,0.60286,1.30657,20,d
सुनसान,,0.27919,0.6581,20,d
इलाके,,0.6907,0.90835,20,d
में,,0.22907,0.26075,20,d
है,,0.66656,0.97857,20,d
।,,0.41825,0.1975,20,d
वह,,0.0007,0.10484,21,a
लड़की,,0.19412,0.88503,21,a
जिसने,,0.00976,0.05763,21,a
सारी,,0.08377,0.15525,21,a
फाइलें,,0.85434,1.7584,21,a
पिछले,,0.04211,0.49589,21,a
हफते,,1.23566,0.21396,21,a
शाम,,0.18713,0.59678,21,a
के,,0.28359,0.39596,21,a
समय,,0.38691,0.65977,21,a
उठायीं,,0.39832,0.14537,21,a
थीं,,0.10296,0.21918,21,a
बहुत,,0.6097,0.84367,21,a
अच्छा,,0.22005,0.23155,21,a
गाना,,0.25481,0.69885,21,a
गाती,,0.66871,0.23752,21,a
है,,0.13815,0.15596,21,a
।,,0.40429,0.42392,21,a
वह,,0.0007,0.10484,21,b
लड़की,,0.19412,0.88503,21,b
जिसने,,0.00976,0.05763,21,b
पिछले,,0.09418,0.5069,21,b
हफते,,1.07297,0.20993,21,b
शाम,,0.18713,0.59678,21,b
के,,0.28359,0.39596,21,b
समय,,0.38691,0.65977,21,b
उठायीं,,0.39832,0.14537,21,b
थीं,,0.10296,0.21918,21,b
सारी,,0.58057,1.33839,21,b
फाइलें,,0.22243,0.66075,21,b
बहुत,,0.58461,0.66217,21,b
अच्छा,,0.22206,0.2394,21,b
गाना,,0.25481,0.69885,21,b
गाती,,0.66871,0.23752,21,b
है,,0.13815,0.15596,21,b
।,,0.40429,0.42392,21,b
वह,,0.0007,0.10484,21,c
फाइलें,,0.1942,0.88503,21,c
जिनको,,0.00974,0.05763,21,c
उस,,0.02458,0.08714,21,c
लड़की,,0.6455,1.15604,21,c
ने,,0.01598,0.15816,21,c
पिछले,,0.03216,0.484,21,c
हफते,,1.2505,0.25869,21,c
शाम,,0.18713,0.59678,21,c
के,,0.28359,0.39596,21,c
समय,,0.38691,0.65977,21,c
उठाया,,0.39843,0.14537,21,c
था,,0.0999,0.21276,21,c
दो,,0.57802,1.08436,21,c
साल,,0.22363,0.67869,21,c
से,,0.17413,0.26849,21,c
एक,,0.59484,0.89666,21,c
जगह,,0.27079,0.68524,21,c
पर,,0.18513,0.33077,21,c
सड़,,0.66132,0.24879,21,c
रहीं,,0.10424,0.21243,21,c
थीं,,0.1355,0.23555,21,c
।,,0.69471,0.46225,21,c
वह,,0.0007,0.10484,21,d
फाइलें,,0.1942,0.88503,21,d
जिनको,,0.00974,0.05763,21,d
पिछले,,0.09429,0.5069,21,d
हफते,,1.07323,0.20993,21,d
शाम,,0.18713,0.59678,21,d
के,,0.28359,0.39596,21,d
समय,,0.38691,0.65977,21,d
उठाया,,0.39843,0.14537,21,d
था,,0.0999,0.21276,21,d
उस,,0.62857,1.44894,21,d
लड़की,,0.22286,0.61625,21,d
ने,,0.17287,0.31225,21,d
दो,,0.59586,0.89464,21,d
साल,,0.26943,0.69327,21,d
से,,0.17413,0.26849,21,d
एक,,0.59484,0.89666,21,d
जगह,,0.27079,0.68524,21,d
पर,,0.18513,0.33077,21,d
सड़,,0.66132,0.24879,21,d
रहीं,,0.10424,0.21243,21,d
थीं,,0.1355,0.23555,21,d
।,,0.69471,0.46225,21,d
वह,,0.0007,0.10484,22,a
हलवाई,,0.19432,0.88503,22,a
जिसने,,0.00975,0.05763,22,a
कढाई,,0.09813,0.51819,22,a
बड़ी,,0.64426,2.32016,22,a
सावधानी,,1.07756,1.1328,22,a
से,,0.01503,0.12386,22,a
पकड़ी,,1.36371,0.16901,22,a
थी,,0.00268,0.00474,22,a
इस,,0.31283,0.83662,22,a
मोहल्ले,,0.17638,0.62413,22,a
में,,0.15777,0.23444,22,a
एक,,0.57112,0.97236,22,a
नई,,0.24684,0.40223,22,a
दुकान,,0.20861,0.75511,22,a
खोल,,0.64474,0.23684,22,a
रहा,,0.21169,0.21939,22,a
है,,0.18768,0.17978,22,a
।,,0.37742,0.42509,22,a
वह,,0.0007,0.10484,22,b
हलवाई,,0.19432,0.88503,22,b
जिसने,,0.00975,0.05763,22,b
बड़ी,,0.09683,0.51819,22,b
सावधानी,,0.96159,1.79524,22,b
से,,0.01503,0.12386,22,b
पकड़ी,,1.36371,0.16901,22,b
थी,,0.00268,0.00474,22,b
कढाई,,0.06981,0.0269,22,b
इस,,0.49073,1.32387,22,b
मोहल्ले,,0.16733,0.6121,22,b
में,,0.15777,0.23444,22,b
एक,,0.57112,0.97236,22,b
नई,,0.24684,0.40223,22,b
दुकान,,0.20861,0.75511,22,b
खोल,,0.64474,0.23684,22,b
रहा,,0.21169,0.21939,22,b
है,,0.18768,0.17978,22,b
।,,0.37742,0.42509,22,b
वह,,0.00054,0.03664,22,c
कढाई,,0.83343,0.09547,22,c
जिसको,,0.22645,0.91186,22,c
उस,,0.27753,0.98728,22,c
हलवाई,,0.24467,0.63322,22,c
ने,,0.17273,0.31225,22,c
बड़ी,,0.5866,0.58755,22,c
सावधानी,,0.29224,0.66936,22,c
से,,0.17352,0.27463,22,c
पकड़ा,,0.66912,0.24341,22,c
था,,0.10021,0.21243,22,c
असली,,0.58173,0.76889,22,c
पीतल,,0.2348,0.6537,22,c
से,,0.17352,0.27463,22,c
बनी,,0.6681,0.24272,22,c
है,,0.06476,0.13868,22,c
।,,0.70021,0.47198,22,c
वह,,0.00054,0.03664,22,d
कढाई,,0.83343,0.09547,22,d
जिसको,,0.22645,0.91186,22,d
बड़ी,,0.22842,0.40838,22,d
सावधानी,,0.26099,0.6584,22,d
से,,0.17352,0.27463,22,d
पकड़ा,,0.66912,0.24341,22,d
था,,0.10021,0.21243,22,d
उस,,0.63515,1.47843,22,d
हलवाई,,0.22438,0.59838,22,d
ने,,0.17273,0.31225,22,d
असली,,0.58641,0.59532,22,d
पीतल,,0.292,0.66925,22,d
से,,0.17352,0.27463,22,d
बनी,,0.6681,0.24272,22,d
है,,0.06476,0.13868,22,d
।,,0.70021,0.47198,22,d
वह,,0.0007,0.10484,23,a
कुली,,0.99286,1.59237,23,a
जिसने,,0.0148,0.72469,23,a
बड़ी,,0.13762,0.53877,23,a
अटैची,,1.41981,0.53633,23,a
एक,,0.03083,0.79291,23,a
झटके,,0.59119,0.53395,23,a
में,,0.01394,0.24006,23,a
उठा,,1.49528,0.30718,23,a
ली,,0.00296,0.23955,23,a
थी,,0.03712,0.24132,23,a
रात,,0.14369,1.22204,23,a
में,,0.24056,0.27939,23,a
टैक्सी,,0.48172,0.81333,23,a
चलाता,,0.84024,0.30523,23,a
है,,0.13771,0.1567,23,a
।,,0.37634,0.4872,23,a
वह,,0.0007,0.10484,23,b
कुली,,0.99286,1.59237,23,b
जिसने,,0.0148,0.72469,23,b
एक,,0.07602,0.74469,23,b
झटके,,1.01421,0.53198,23,b
में,,0.01349,0.24006,23,b
उठा,,1.50691,0.30718,23,b
ली,,0.00296,0.23955,23,b
थी,,0.03712,0.24132,23,b
बड़ी,,0.15809,0.82859,23,b
अटैची,,0.18281,0.53051,23,b
रात,,0.64771,0.89038,23,b
में,,0.22899,0.26073,23,b
टैक्सी,,0.4981,0.86229,23,b
चलाता,,0.84024,0.30523,23,b
है,,0.13771,0.1567,23,b
।,,0.37634,0.4872,23,b
वह,,0.00054,0.03664,23,c
बड़ी,,0.02729,0.59731,23,c
अटैची,,0.35813,1.80058,23,c
जिसको,,0.01739,0.86563,23,c
उस,,0.02457,0.08714,23,c
कुली,,0.64455,1.15677,23,c
ने,,0.01598,0.15823,23,c
एक,,0.01748,0.30892,23,c
झटके,,0.41592,1.2609,23,c
में,,0.01394,0.11224,23,c
उठा,,2.13699,0.19739,23,c
लिया,,0.00293,0.31303,23,c
था,,0.03731,0.3035,23,c
ट्रेन,,0.14361,1.12962,23,c
में,,0.24101,0.36874,23,c
गुम,,0.41529,0.5892,23,c
हो,,0.30969,0.11212,23,c
गयी,,0.12097,0.26652,23,c
।,,0.53535,0.4238,23,c
वह,,0.00054,0.03664,23,d
बड़ी,,0.02729,0.59731,23,d
अटैची,,0.35813,1.80058,23,d
जिसको,,0.01739,0.86563,23,d
एक,,0.05402,0.30113,23,d
झटके,,0.77064,1.18441,23,d
में,,0.01349,0.11699,23,d
उठा,,1.89924,0.13971,23,d
लिया,,0.00293,0.31303,23,d
था,,0.03731,0.3035,23,d
उस,,0.22417,1.71111,23,d
कुली,,0.17229,0.60362,23,d
ने,,0.17273,0.41172,23,d
ट्रेन,,0.64697,0.91249,23,d
में,,0.11091,0.3158,23,d
गुम,,0.70009,0.6558,23,d
हो,,0.30969,0.11212,23,d
गयी,,0.12097,0.26652,23,d
।,,0.53535,0.4238,23,d
वह,,0.0007,0.10484,24,a
अध्यापक,,0.19439,0.88503,24,a
जिसने,,0.00975,0.05763,24,a
किताबें,,1.09319,0.58196,24,a
पिछले,,0.04532,0.51162,24,a
साल,,0.61588,2.42184,24,a
गर्मियों,,0.92255,0.65691,24,a
में,,0.01175,0.10869,24,a
बेचीं,,1.4987,0.22958,24,a
थीं,,0.00274,0.00482,24,a
बरेली,,0.09496,0.35241,24,a
का,,0.7463,0.66941,24,a
रहनेवाला,,0.25358,0.11273,24,a
है,,0.22916,0.35291,24,a
।,,0.67543,0.46181,24,a
वह,,0.0007,0.10484,24,b
अध्यापक,,0.19439,0.88503,24,b
जिसने,,0.00975,0.05763,24,b
पिछले,,0.09418,0.5069,24,b
साल,,0.94369,1.78831,24,b
गर्मियों,,0.89583,0.65691,24,b
में,,0.01175,0.10869,24,b
बेचीं,,1.56559,0.22958,24,b
थीं,,0.00274,0.00482,24,b
किताबें,,0.1426,0.67174,24,b
बरेली,,0.51165,0.62692,24,b
का,,0.71568,0.62937,24,b
रहनेवाला,,0.26353,0.1194,24,b
है,,0.22916,0.35291,24,b
।,,0.67543,0.46181,24,b
वह,,0.0007,0.10484,24,c
किताबें,,0.19431,0.88503,24,c
जिनको,,0.00976,0.05763,24,c
उस,,0.02458,0.08714,24,c
अध्यापक,,0.64456,1.15604,24,c
ने,,0.01597,0.15816,24,c
पिछले,,0.03212,0.484,24,c
साल,,0.48313,2.45708,24,c
गर्मियों,,0.92255,0.65691,24,c
में,,0.01175,0.10869,24,c
बेचा,,1.80365,0.22958,24,c
था,,0.00266,0.00449,24,c
पुरानी,,0.15508,0.29899,24,c
हो,,0.17251,0.10316,24,c
रहीं,,0.13795,0.1892,24,c
थीं,,0.16896,0.21164,24,c
।,,0.53718,0.51119,24,c
वह,,0.0007,0.10484,24,d
किताबें,,0.19431,0.88503,24,d
जिनको,,0.00976,0.05763,24,d
पिछले,,0.09429,0.5069,24,d
साल,,0.94448,1.78831,24,d
गर्मियों,,0.89583,0.65691,24,d
में,,0.01175,0.10869,24,d
बेचा,,1.56496,0.22958,24,d
था,,0.00266,0.00449,24,d
उस,,0.22282,0.66521,24,d
अध्यापक,,0.17294,0.67308,24,d
ने,,0.17274,0.31225,24,d
पुरानी,,0.55129,0.63672,24,d
हो,,0.31057,0.11817,24,d
रहीं,,0.13795,0.1892,24,d
थीं,,0.16896,0.21164,24,d
।,,0.53718,0.51119,24,d